Date,Year,Month Number,Month,Month Year,Quarter,Year-Month,Day,Weekday,Weekday Number
2000-01-01,2000,1,Jan,Jan 2000,Q1,2000-01,1,Sat,6
2000-01-02,2000,1,Jan,Jan 2000,Q1,2000-01,2,Sun,7
2000-01-03,2000,1,Jan,Jan 2000,Q1,2000-01,3,Mon,1
2000-01-04,2000,1,Jan,Jan 2000,Q1,2000-01,4,Tue,2
2000-01-05,2000,1,Jan,Jan 2000,Q1,2000-01,5,Wed,3
2000-01-06,2000,1,Jan,Jan 2000,Q1,2000-01,6,Thu,4
2000-01-07,2000,1,Jan,Jan 2000,Q1,2000-01,7,Fri,5
2000-01-08,2000,1,Jan,Jan 2000,Q1,2000-01,8,Sat,6
2000-01-09,2000,1,Jan,Jan 2000,Q1,2000-01,9,Sun,7
2000-01-10,2000,1,Jan,Jan 2000,Q1,2000-01,10,Mon,1
2000-01-11,2000,1,Jan,Jan 2000,Q1,2000-01,11,Tue,2
2000-01-12,2000,1,Jan,Jan 2000,Q1,2000-01,12,Wed,3
2000-01-13,2000,1,Jan,Jan 2000,Q1,2000-01,13,Thu,4
2000-01-14,2000,1,Jan,Jan 2000,Q1,2000-01,14,Fri,5
2000-01-15,2000,1,Jan,Jan 2000,Q1,2000-01,15,Sat,6
2000-01-16,2000,1,Jan,Jan 2000,Q1,2000-01,16,Sun,7
2000-01-17,2000,1,Jan,Jan 2000,Q1,2000-01,17,Mon,1
2000-01-18,2000,1,Jan,Jan 2000,Q1,2000-01,18,Tue,2
2000-01-19,2000,1,Jan,Jan 2000,Q1,2000-01,19,Wed,3
2000-01-20,2000,1,Jan,Jan 2000,Q1,2000-01,20,Thu,4
2000-01-21,2000,1,Jan,Jan 2000,Q1,2000-01,21,Fri,5
2000-01-22,2000,1,Jan,Jan 2000,Q1,2000-01,22,Sat,6
2000-01-23,2000,1,Jan,Jan 2000,Q1,2000-01,23,Sun,7
2000-01-24,2000,1,Jan,Jan 2000,Q1,2000-01,24,Mon,1
2000-01-25,2000,1,Jan,Jan 2000,Q1,2000-01,25,Tue,2
2000-01-26,2000,1,Jan,Jan 2000,Q1,2000-01,26,Wed,3
2000-01-27,2000,1,Jan,Jan 2000,Q1,2000-01,27,Thu,4
2000-01-28,2000,1,Jan,Jan 2000,Q1,2000-01,28,Fri,5
2000-01-29,2000,1,Jan,Jan 2000,Q1,2000-01,29,Sat,6
2000-01-30,2000,1,Jan,Jan 2000,Q1,2000-01,30,Sun,7
2000-01-31,2000,1,Jan,Jan 2000,Q1,2000-01,31,Mon,1
2000-02-01,2000,2,Feb,Feb 2000,Q1,2000-02,1,Tue,2
2000-02-02,2000,2,Feb,Feb 2000,Q1,2000-02,2,Wed,3
2000-02-03,2000,2,Feb,Feb 2000,Q1,2000-02,3,Thu,4
2000-02-04,2000,2,Feb,Feb 2000,Q1,2000-02,4,Fri,5
2000-02-05,2000,2,Feb,Feb 2000,Q1,2000-02,5,Sat,6
2000-02-06,2000,2,Feb,Feb 2000,Q1,2000-02,6,Sun,7
2000-02-07,2000,2,Feb,Feb 2000,Q1,2000-02,7,Mon,1
2000-02-08,2000,2,Feb,Feb 2000,Q1,2000-02,8,Tue,2
2000-02-09,2000,2,Feb,Feb 2000,Q1,2000-02,9,Wed,3
2000-02-10,2000,2,Feb,Feb 2000,Q1,2000-02,10,Thu,4
2000-02-11,2000,2,Feb,Feb 2000,Q1,2000-02,11,Fri,5
2000-02-12,2000,2,Feb,Feb 2000,Q1,2000-02,12,Sat,6
2000-02-13,2000,2,Feb,Feb 2000,Q1,2000-02,13,Sun,7
2000-02-14,2000,2,Feb,Feb 2000,Q1,2000-02,14,Mon,1
2000-02-15,2000,2,Feb,Feb 2000,Q1,2000-02,15,Tue,2
2000-02-16,2000,2,Feb,Feb 2000,Q1,2000-02,16,Wed,3
2000-02-17,2000,2,Feb,Feb 2000,Q1,2000-02,17,Thu,4
2000-02-18,2000,2,Feb,Feb 2000,Q1,2000-02,18,Fri,5
2000-02-19,2000,2,Feb,Feb 2000,Q1,2000-02,19,Sat,6
2000-02-20,2000,2,Feb,Feb 2000,Q1,2000-02,20,Sun,7
2000-02-21,2000,2,Feb,Feb 2000,Q1,2000-02,21,Mon,1
2000-02-22,2000,2,Feb,Feb 2000,Q1,2000-02,22,Tue,2
2000-02-23,2000,2,Feb,Feb 2000,Q1,2000-02,23,Wed,3
2000-02-24,2000,2,Feb,Feb 2000,Q1,2000-02,24,Thu,4
2000-02-25,2000,2,Feb,Feb 2000,Q1,2000-02,25,Fri,5
2000-02-26,2000,2,Feb,Feb 2000,Q1,2000-02,26,Sat,6
2000-02-27,2000,2,Feb,Feb 2000,Q1,2000-02,27,Sun,7
2000-02-28,2000,2,Feb,Feb 2000,Q1,2000-02,28,Mon,1
2000-02-29,2000,2,Feb,Feb 2000,Q1,2000-02,29,Tue,2
2000-03-01,2000,3,Mar,Mar 2000,Q1,2000-03,1,Wed,3
