SalesOrderNumber,SalesOrderLineNumber,ProductKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderDateKey,DueDateKey,ShipDateKey,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
SO10001,2,21,79,1,1,3,20241114,20241118,20241120,2,3695.11,7390.22,0.0,2013.24,4026.48,7390.22,609.69,277.01,TRK329772,PO240057
SO10001,2,20,123,2,1,1,20250912,20250920,20250916,2,3785.07,7570.14,378.51,2197.87,4395.74,7191.63,593.31,223.36,TRK898867,PO359486
SO10001,2,68,21,1,4,6,20250105,20250109,20250110,3,32.68,98.04,0.0,13.97,41.91,98.04,8.09,1.31,TRK700521,PO662728
SO10002,1,22,39,3,3,5,20250328,20250401,20250403,1,3422.23,3422.23,342.22,2097.84,2097.84,3080.01,254.1,49.78,TRK635167,PO567122
SO10002,1,59,15,1,2,4,20250412,20250415,20250417,2,47.42,94.84,0.0,22.49,44.98,94.84,7.82,2.26,TRK515182,PO366817
SO10002,1,28,1,1,2,4,20250309,20250317,20250315,2,2500.86,5001.72,0.0,1544.51,3089.02,5001.72,412.64,59.58,TRK595002,PO133276
SO10003,4,53,74,2,3,5,20251018,20251027,20251021,2,47.17,94.34,4.72,22.5,45.0,89.62,7.39,3.57,TRK493892,PO184148
SO10004,2,18,139,3,4,6,20240501,20240506,20240506,3,529.51,1588.53,158.85,312.58,937.74,1429.68,117.95,31.16,TRK975373,PO103642
SO10005,4,39,6,1,1,2,20250711,20250720,20250716,2,2542.13,5084.26,0.0,1472.24,2944.48,5084.26,419.45,108.69,TRK462974,PO262656
SO10005,1,25,71,2,4,6,20240202,20240211,20240207,3,2496.04,7488.12,374.41,1485.17,4455.51,7113.71,586.88,234.62,TRK352356,PO316092
SO10006,2,13,18,1,3,5,20250904,20250907,20250906,2,579.5,1159.0,0.0,301.9,603.8,1159.0,95.62,37.34,TRK665979,PO327823
SO10006,3,18,15,4,2,4,20240827,20240904,20240901,2,529.51,1059.02,158.85,312.58,625.16,900.17,74.26,25.15,TRK348411,PO416422
SO10006,2,67,37,1,2,4,20241008,20241011,20241013,2,68.93,137.86,0.0,28.93,57.86,137.86,11.37,5.3,TRK756401,PO811721
SO10006,4,64,110,4,1,3,20251020,20251029,20251027,1,45.23,45.23,6.78,23.51,23.51,38.45,3.17,0.99,TRK256466,PO414455
SO10006,1,24,97,1,1,1,20240818,20240825,20240825,2,2287.04,4574.08,0.0,1464.07,2928.14,4574.08,377.36,142.84,TRK689704,PO532723
SO10006,3,68,107,1,4,6,20240918,20240924,20240921,2,32.68,65.36,0.0,13.97,27.94,65.36,5.39,1.92,TRK196955,PO661654
SO10006,2,7,49,1,4,6,20250911,20250914,20250918,1,1525.01,1525.01,0.0,904.22,904.22,1525.01,125.81,18.58,TRK602681,PO319036
SO10007,2,39,86,1,1,1,20240713,20240717,20240719,1,2542.13,2542.13,0.0,1472.24,1472.24,2542.13,209.73,101.65,TRK829417,PO733760
SO10008,3,51,53,1,1,1,20241016,20241025,20241020,2,7.37,14.74,0.0,2.07,4.14,14.74,1.22,0.38,TRK477114,PO637727
SO10009,2,60,128,2,1,3,20250425,20250503,20250427,1,49.85,49.85,2.49,20.78,20.78,47.36,3.91,1.0,TRK877259,PO253011
SO10010,4,34,5,3,2,4,20250816,20250825,20250819,2,748.1,1496.2,149.62,449.62,899.24,1346.58,111.09,19.62,TRK697467,PO973844
SO10010,4,64,63,1,3,5,20241211,20241218,20241218,4,45.23,180.92,0.0,23.51,94.04,180.92,14.93,6.27,TRK583214,PO276405
SO10010,1,22,91,2,2,4,20250515,20250520,20250520,1,3422.23,3422.23,171.11,2097.84,2097.84,3251.12,268.22,129.1,TRK979827,PO987826
SO10011,4,7,20,1,1,3,20251007,20251013,20251008,1,1525.01,1525.01,0.0,904.22,904.22,1525.01,125.81,47.6,TRK491329,PO163386
SO10011,3,63,124,1,2,4,20250718,20250727,20250719,1,45.08,45.08,0.0,21.38,21.38,45.08,3.72,0.47,TRK117975,PO626611
SO10012,3,23,111,3,4,6,20250620,20250625,20250622,1,2278.75,2278.75,227.88,1453.1,1453.1,2050.87,169.2,32.32,TRK380310,PO933551
SO10012,1,11,102,4,3,5,20250415,20250421,20250421,1,1730.74,1730.74,259.61,980.12,980.12,1471.13,121.37,24.68,TRK785491,PO999908
SO10012,1,12,9,1,3,5,20250719,20250729,20250720,2,1607.83,3215.66,0.0,897.63,1795.26,3215.66,265.29,93.58,TRK624139,PO986392
SO10012,4,43,112,4,4,6,20240407,20240410,20240409,2,2345.63,4691.26,703.69,1415.45,2830.9,3987.57,328.97,65.17,TRK384263,PO148823
SO10012,2,36,20,1,1,3,20240203,20240208,20240210,2,745.84,1491.68,0.0,520.44,1040.88,1491.68,123.06,28.99,TRK888795,PO960556
SO10013,2,10,102,1,3,5,20240903,20240912,20240909,1,1731.69,1731.69,0.0,874.99,874.99,1731.69,142.86,63.89,TRK928897,PO822794
SO10014,4,65,21,4,4,6,20240224,20240228,20240228,5,68.94,344.7,51.7,28.43,142.15,293.0,24.17,4.97,TRK911131,PO442230
SO10015,4,35,8,1,2,4,20241230,20250108,20250103,2,758.91,1517.82,0.0,467.94,935.88,1517.82,125.22,23.64,TRK189856,PO909676
SO10016,4,32,76,1,1,2,20241001,20241006,20241005,3,789.13,2367.39,0.0,500.36,1501.08,2367.39,195.31,74.22,TRK432061,PO478221
SO10017,2,12,28,4,1,2,20250331,20250408,20250407,1,1607.83,1607.83,241.17,897.63,897.63,1366.66,112.75,24.73,TRK551914,PO570646
SO10018,3,66,143,1,4,6,20240401,20240409,20240406,3,63.0,189.0,0.0,25.09,75.27,189.0,15.59,2.42,TRK503951,PO112940
SO10018,2,53,75,2,2,4,20250726,20250801,20250731,3,47.17,141.51,7.08,22.5,67.5,134.43,11.09,3.45,TRK245584,PO381981
SO10019,1,35,78,1,1,3,20240620,20240629,20240623,2,758.91,1517.82,0.0,467.94,935.88,1517.82,125.22,34.35,TRK478666,PO363926
SO10019,3,64,64,1,3,5,20250413,20250417,20250415,4,45.23,180.92,0.0,23.51,94.04,180.92,14.93,3.46,TRK982495,PO750318
SO10019,2,43,98,1,1,3,20251028,20251102,20251031,2,2345.63,4691.26,0.0,1415.45,2830.9,4691.26,387.03,92.04,TRK602278,PO429445
SO10020,3,51,46,1,2,4,20251010,20251020,20251015,2,7.37,14.74,0.0,2.07,4.14,14.74,1.22,0.49,TRK956156,PO924040
SO10021,4,47,101,3,1,2,20240723,20240728,20240729,1,776.68,776.68,77.67,455.26,455.26,699.01,57.67,23.09,TRK842776,PO319832
SO10022,2,38,113,1,1,3,20250222,20250304,20250224,3,2443.29,7329.87,0.0,1457.25,4371.75,7329.87,604.71,212.57,TRK849979,PO543681
SO10022,4,10,97,4,1,1,20250505,20250514,20250510,2,1731.69,3463.38,519.51,874.99,1749.98,2943.87,242.87,74.18,TRK670053,PO138551
SO10022,2,69,93,1,1,2,20240328,20240401,20240404,4,32.59,130.36,0.0,14.58,58.32,130.36,10.75,2.27,TRK778428,PO742439
SO10023,2,52,12,4,1,3,20250316,20250320,20250317,2,21.61,43.22,6.48,8.05,16.1,36.74,3.03,0.48,TRK567432,PO492292
SO10024,3,60,101,1,1,2,20250527,20250601,20250530,5,49.85,249.25,0.0,20.78,103.9,249.25,20.56,9.95,TRK536181,PO190025
SO10025,4,19,30,1,2,4,20250411,20250417,20250416,1,3766.58,3766.58,0.0,2212.17,2212.17,3766.58,310.74,92.24,TRK857065,PO830609
SO10026,2,41,116,1,1,3,20240427,20240430,20240504,1,2407.41,2407.41,0.0,1425.74,1425.74,2407.41,198.61,48.85,TRK876459,PO355761
SO10027,2,23,133,1,1,1,20250727,20250805,20250731,2,2278.75,4557.5,0.0,1453.1,2906.2,4557.5,375.99,77.28,TRK295440,PO771590
SO10028,2,51,111,2,4,6,20240721,20240731,20240726,1,7.37,7.37,0.37,2.07,2.07,7.0,0.58,0.16,TRK315780,PO391865
SO10028,4,14,17,1,3,5,20241129,20241205,20241203,2,504.81,1009.62,0.0,290.0,580.0,1009.62,83.29,13.55,TRK653349,PO770153
SO10029,3,50,81,1,1,1,20240426,20240504,20240429,4,37.64,150.56,0.0,13.75,55.0,150.56,12.42,5.32,TRK744333,PO718836
SO10030,4,18,22,1,3,5,20241108,20241112,20241110,1,529.51,529.51,0.0,312.58,312.58,529.51,43.68,11.23,TRK538555,PO725397
SO10031,2,50,36,1,1,1,20251012,20251017,20251017,3,37.64,112.92,0.0,13.75,41.25,112.92,9.32,1.69,TRK429861,PO982885
SO10031,4,7,116,4,1,3,20250511,20250516,20250513,1,1525.01,1525.01,228.75,904.22,904.22,1296.26,106.94,44.66,TRK529008,PO817956
SO10031,2,54,126,3,1,2,20250515,20250520,20250516,5,45.95,229.75,22.98,21.77,108.85,206.77,17.06,5.57,TRK406278,PO134283
SO10032,3,29,71,1,4,6,20250413,20250423,20250418,2,740.85,1481.7,0.0,503.82,1007.64,1481.7,122.24,37.52,TRK912764,PO669488
SO10032,2,70,94,2,4,6,20250327,20250402,20250331,1,36.49,36.49,1.82,13.17,13.17,34.67,2.86,0.45,TRK412170,PO133796
SO10032,2,34,116,3,1,3,20240330,20240409,20240406,1,748.1,748.1,74.81,449.62,449.62,673.29,55.55,26.81,TRK320073,PO950083
SO10033,3,55,90,1,1,2,20240730,20240805,20240806,2,48.64,97.28,0.0,23.6,47.2,97.28,8.03,1.15,TRK725850,PO664939
SO10033,1,42,44,1,1,1,20250809,20250816,20250816,3,2416.26,7248.78,0.0,1576.33,4728.99,7248.78,598.02,184.35,TRK242175,PO886530
SO10034,2,8,106,3,2,4,20240509,20240514,20240511,1,1689.57,1689.57,168.96,956.83,956.83,1520.61,125.45,21.88,TRK898462,PO984532
SO10035,1,63,101,1,1,2,20241002,20241011,20241006,2,45.08,90.16,0.0,21.38,42.76,90.16,7.44,2.12,TRK522419,PO640659
SO10035,4,48,72,4,1,2,20241201,20241204,20241208,2,690.18,1380.36,207.05,452.27,904.54,1173.31,96.8,38.98,TRK765678,PO796405
SO10035,3,9,92,1,3,5,20250315,20250321,20250319,2,1576.2,3152.4,0.0,963.57,1927.14,3152.4,260.07,56.92,TRK673896,PO706007
SO10035,1,63,34,3,2,4,20240219,20240222,20240220,2,45.08,90.16,9.02,21.38,42.76,81.14,6.69,2.34,TRK230272,PO999312
SO10035,3,57,41,1,3,5,20250314,20250320,20250320,3,49.0,147.0,0.0,20.87,62.61,147.0,12.13,5.48,TRK266699,PO387330
