SalesOrderNumber,SalesOrderLineNumber,ProductKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderDateKey,DueDateKey,ShipDateKey,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
RS40000,1,38,7,12,1,2,4,20250130,20250215,20250205,1,1759.17,1759.17,0.0,1457.25,1457.25,1759.17,131.94,81.0,TRK472007,RESPO960979
RS40000,2,62,33,3,1,1,2,20241205,20241212,20241208,12,36.85,442.2,0.0,22.11,265.32,442.2,33.16,9.63,TRK253028,RESPO880494
RS40001,4,35,36,5,1,1,3,20251007,20251019,20251016,1,546.42,546.42,0.0,467.94,467.94,546.42,40.98,18.16,TRK463778,RESPO751975
RS40002,4,37,21,6,3,4,6,20250822,20250904,20250901,1,596.94,596.94,59.69,471.59,471.59,537.25,40.29,10.38,TRK137912,RESPO798687
RS40003,6,65,36,5,3,1,3,20250121,20250208,20250127,8,49.64,397.12,39.71,28.43,227.44,357.41,26.81,9.49,TRK250944,RESPO249119
RS40004,2,12,13,14,1,1,2,20240813,20240823,20240821,4,1157.64,4630.56,0.0,897.63,3590.52,4630.56,347.29,76.25,TRK696948,RESPO303071
RS40005,1,20,27,15,2,3,5,20240803,20240814,20240812,5,2725.25,13626.25,681.31,2197.87,10989.35,12944.94,970.87,194.43,TRK925242,RESPO169299
RS40005,3,60,15,5,1,1,3,20240322,20240407,20240329,20,35.89,717.8,0.0,20.78,415.6,717.8,53.83,27.58,TRK991912,RESPO591704
RS40006,6,43,17,10,1,1,2,20251129,20251210,20251204,5,1688.85,8444.25,0.0,1415.45,7077.25,8444.25,633.32,373.55,TRK337186,RESPO954517
RS40006,4,56,2,12,1,2,4,20250605,20250612,20250611,10,37.4,374.0,0.0,21.17,211.7,374.0,28.05,9.54,TRK940615,RESPO370157
RS40007,1,19,7,12,3,2,4,20240911,20240929,20240921,2,2711.94,5423.88,542.39,2212.17,4424.34,4881.49,366.11,152.56,TRK630415,RESPO480625
RS40008,6,52,27,15,1,3,5,20240324,20240401,20240331,15,15.56,233.4,0.0,8.05,120.75,233.4,17.5,5.48,TRK159667,RESPO556784
RS40009,3,56,26,5,1,1,3,20240201,20240211,20240210,12,37.4,448.8,0.0,21.17,254.04,448.8,33.66,11.98,TRK615753,RESPO515597
RS40009,3,28,38,8,3,1,3,20241020,20241029,20241027,4,1800.62,7202.48,720.25,1544.51,6178.04,6482.23,486.17,152.42,TRK722273,RESPO495153
RS40010,1,13,6,3,3,1,2,20240109,20240130,20240113,1,417.24,417.24,41.72,301.9,301.9,375.52,28.16,7.6,TRK153852,RESPO102188
RS40010,6,23,31,12,1,2,4,20250110,20250122,20250113,2,1640.7,3281.4,0.0,1453.1,2906.2,3281.4,246.1,127.17,TRK142393,RESPO273247
RS40011,2,43,20,1,4,3,5,20240325,20240413,20240329,1,1688.85,1688.85,253.33,1415.45,1415.45,1435.52,107.66,71.18,TRK509850,RESPO964226
RS40012,2,14,32,12,1,2,4,20250622,20250630,20250701,5,363.46,1817.3,0.0,290.0,1450.0,1817.3,136.3,31.82,TRK735612,RESPO993801
RS40013,3,21,17,14,1,1,2,20240817,20240903,20240821,1,2660.48,2660.48,0.0,2013.24,2013.24,2660.48,199.54,104.07,TRK828664,RESPO595620
RS40013,3,46,29,9,1,4,6,20250214,20250303,20250221,3,500.88,1502.64,0.0,470.4,1411.2,1502.64,112.7,44.52,TRK320774,RESPO352372
RS40014,4,20,30,9,1,3,5,20250824,20250902,20250828,1,2725.25,2725.25,0.0,2197.87,2197.87,2725.25,204.39,124.35,TRK857878,RESPO177009
RS40015,6,43,19,12,1,2,4,20250508,20250525,20250518,5,1688.85,8444.25,0.0,1415.45,7077.25,8444.25,633.32,255.33,TRK864810,RESPO716217
RS40016,1,27,20,15,1,3,5,20240609,20240616,20240615,6,1693.38,10160.28,0.0,1624.05,9744.3,10160.28,762.02,291.37,TRK508482,RESPO295624
RS40017,6,60,32,12,3,2,4,20250405,20250418,20250412,20,35.89,717.8,71.78,20.78,415.6,646.02,48.45,12.7,TRK888019,RESPO694090
RS40018,1,1,12,9,1,3,5,20250513,20250603,20250517,3,1619.34,4858.02,0.0,1293.6,3880.8,4858.02,364.35,221.74,TRK351682,RESPO637693
RS40019,3,64,39,8,2,1,3,20250303,20250321,20250310,8,32.57,260.56,13.03,23.51,188.08,247.53,18.56,4.05,TRK939079,RESPO744745
RS40020,6,44,24,1,1,4,6,20250528,20250614,20250607,1,576.77,576.77,0.0,461.7,461.7,576.77,43.26,12.72,TRK386728,RESPO656656
RS40021,5,68,26,5,3,1,3,20240210,20240221,20240220,12,23.53,282.36,28.24,13.97,167.64,254.12,19.06,7.86,TRK892486,RESPO578608
RS40022,4,37,3,4,1,1,1,20251004,20251025,20251013,1,596.94,596.94,0.0,471.59,471.59,596.94,44.77,29.12,TRK738331,RESPO699678
RS40022,6,41,15,5,1,1,3,20251029,20251119,20251104,4,1733.34,6933.36,0.0,1425.74,5702.96,6933.36,520.0,310.79,TRK513990,RESPO378256
RS40023,1,68,1,9,1,3,5,20250405,20250413,20250411,5,23.53,117.65,0.0,13.97,69.85,117.65,8.82,2.75,TRK661258,RESPO953986
RS40023,6,54,35,3,3,1,2,20251017,20251024,20251026,15,33.08,496.2,49.62,21.77,326.55,446.58,33.49,19.02,TRK708358,RESPO323781
RS40024,5,37,35,3,3,1,2,20250202,20250219,20250207,2,596.94,1193.88,119.39,471.59,943.18,1074.49,80.59,37.21,TRK114901,RESPO818362
RS40025,6,11,28,10,1,1,2,20250506,20250524,20250512,6,1246.13,7476.78,0.0,980.12,5880.72,7476.78,560.76,117.57,TRK277233,RESPO789393
RS40026,3,33,19,12,3,2,4,20240727,20240807,20240806,2,593.93,1187.86,118.79,507.46,1014.92,1069.07,80.18,43.32,TRK825150,RESPO675333
RS40027,3,10,5,12,3,2,4,20240104,20240113,20240107,1,1246.82,1246.82,124.68,874.99,874.99,1122.14,84.16,54.28,TRK902056,RESPO573213
RS40028,1,16,22,9,1,4,6,20240505,20240517,20240508,5,407.91,2039.55,0.0,321.39,1606.95,2039.55,152.97,64.95,TRK470399,RESPO284967
RS40028,1,25,25,12,1,2,4,20250927,20251005,20251001,6,1797.15,10782.9,0.0,1485.17,8911.02,10782.9,808.72,465.32,TRK252895,RESPO458719
RS40029,4,67,11,5,4,1,3,20251008,20251027,20251016,12,49.63,595.56,89.33,28.93,347.16,506.23,37.97,13.82,TRK208600,RESPO946489
RS40030,6,52,33,6,1,1,2,20251014,20251022,20251019,8,15.56,124.48,0.0,8.05,64.4,124.48,9.34,3.97,TRK975048,RESPO788941
RS40031,2,59,32,12,2,2,4,20240722,20240729,20240729,10,34.14,341.4,17.07,22.49,224.9,324.33,24.32,15.08,TRK117953,RESPO796862
RS40032,1,44,24,7,3,4,6,20241118,20241204,20241128,6,576.77,3460.62,346.06,461.7,2770.2,3114.56,233.59,140.69,TRK688683,RESPO903340
RS40033,5,18,8,8,2,4,6,20250718,20250806,20250720,4,381.25,1525.0,76.25,312.58,1250.32,1448.75,108.66,58.54,TRK924334,RESPO975798
RS40034,3,32,21,5,3,4,6,20241027,20241113,20241031,5,568.17,2840.85,284.08,500.36,2501.8,2556.77,191.76,41.84,TRK829711,RESPO370827
RS40035,4,20,25,12,3,2,4,20240317,20240328,20240323,3,2725.25,8175.75,817.58,2197.87,6593.61,7358.17,551.86,361.5,TRK526635,RESPO123836
RS40036,1,37,2,12,2,2,4,20240520,20240601,20240523,2,596.94,1193.88,59.69,471.59,943.18,1134.19,85.06,53.99,TRK199779,RESPO377033
RS40037,1,41,22,15,1,4,6,20240805,20240816,20240811,1,1733.34,1733.34,0.0,1425.74,1425.74,1733.34,130.0,61.32,TRK982342,RESPO897582
RS40038,5,70,36,5,1,1,3,20250814,20250831,20250820,20,26.27,525.4,0.0,13.17,263.4,525.4,39.4,23.88,TRK205314,RESPO523257
RS40039,1,40,3,4,2,1,1,20241002,20241018,20241004,1,1651.91,1651.91,82.6,1421.92,1421.92,1569.31,117.7,64.24,TRK212018,RESPO600146
RS40039,2,61,3,4,1,1,1,20240927,20241005,20241004,12,36.76,441.12,0.0,22.14,265.68,441.12,33.08,9.07,TRK276559,RESPO294122
RS40039,6,14,37,3,1,1,2,20240509,20240524,20240514,4,363.46,1453.84,0.0,290.0,1160.0,1453.84,109.04,30.43,TRK527725,RESPO105543
RS40040,4,35,34,10,3,4,6,20240711,20240721,20240719,6,546.42,3278.52,327.85,467.94,2807.64,2950.67,221.3,95.14,TRK301821,RESPO965101
RS40041,3,38,34,6,1,4,6,20250827,20250906,20250830,2,1759.17,3518.34,0.0,1457.25,2914.5,3518.34,263.88,103.45,TRK841242,RESPO540636
RS40042,5,64,17,3,1,1,2,20240714,20240723,20240717,5,32.57,162.85,0.0,23.51,117.55,162.85,12.21,6.7,TRK803619,RESPO360864
RS40043,2,6,9,12,2,2,4,20240314,20240325,20240317,2,1512.69,3025.38,151.27,1401.2,2802.4,2874.11,215.56,111.92,TRK702485,RESPO102954
RS40044,6,15,14,5,1,1,3,20240730,20240818,20240802,4,410.41,1641.64,0.0,315.14,1260.56,1641.64,123.12,50.31,TRK486669,RESPO440904
RS40045,2,49,27,11,2,3,5,20251012,20251101,20251017,4,576.65,2306.6,115.33,463.15,1852.6,2191.27,164.35,44.06,TRK613711,RESPO612662
RS40045,1,56,18,2,1,1,1,20250419,20250507,20250428,10,37.4,374.0,0.0,21.17,211.7,374.0,28.05,7.69,TRK649749,RESPO403114
RS40045,4,53,14,5,1,1,3,20241013,20241101,20241023,10,33.96,339.6,0.0,22.5,225.0,339.6,25.47,7.2,TRK168466,RESPO714973
