ProductKey,OrderDate,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,DiscountAmount,ProductStandardCost,SalesAmount,Territories.Region,Territories.Country,Territories.Continent
376,2003-07-02,16688,9,SO51189,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-07-07,18212,9,SO51268,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-07-09,16702,9,SO51300,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-07-10,18246,9,SO51321,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-07-11,18243,9,SO51336,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-07-15,18214,9,SO51407,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-07-23,18222,9,SO51529,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-07-24,18210,9,SO51543,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-03,18250,9,SO51965,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-03,18470,9,SO52018,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-07,18308,9,SO52210,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-08,18482,9,SO52211,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-11,18307,9,SO52407,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-12,18252,9,SO52408,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-12,16713,9,SO52468,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-17,18483,9,SO52670,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-23,18273,9,SO52963,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-29,18248,9,SO53289,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-08-30,18485,9,SO53346,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-09-03,18489,9,SO53720,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-09-09,16744,9,SO54096,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-09-18,18710,9,SO54579,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-09-20,18487,9,SO54657,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-09-22,18736,9,SO54807,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-10-08,19559,9,SO55800,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-10-08,19084,9,SO55801,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-10-11,19095,9,SO55960,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-10-12,17279,9,SO56008,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-10-13,19083,9,SO56062,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
376,2003-10-16,19556,9,SO56216,1,1,0,1554.9479,2443.35,Australia,Australia,Pacific
